"Part";"Value";"Device";"Package";"Description";"ALTERNATE_PARTNUMBER";"APPLICATION_BUILDNUMBER";"AVAILABILITY";"BUILT_BY";"COMPTYPE";"COPYRIGHT";"CUI_PURCHASE_URL";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"MANUFACTURER";"MANUFACTURER_PART_NUMBER";"MF";"MOUNTTYPE";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PACKAGEREFERENCE";"PARTNUMBER";"PIN_COUNT";"POPULARITY";"PRICE";"PURCHASE-URL";"REFDES";"ROHS";"SOURCELIBRARY";"SPICEPREFIX";"TYPE";"VALUE";"VENDOR";
"C43";"0.1u";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"";"";"C";"";"";"";
"C44";"0.1u";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"";"";"C";"";"";"";
"C45";"10u";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"";"";"C";"";"";"";
"C46";"0.1u";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"";"";"C";"";"";"";
"C47";"0.1u";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"";"";"C";"";"";"";
"C48";"0.1u";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"";"";"C";"";"";"";
"C49";"0.1u";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"";"";"C";"";"";"";
"C50";"0.1u";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"";"";"C";"";"";"";
"C51";"1u";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"";"";"C";"";"";"";
"C52";"0.1u";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"";"";"C";"";"";"";
"C53";"0.1u";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"";"";"C";"";"";"";
"C54";"0.1u";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"";"";"C";"";"";"";
"C55";"100p";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"";"";"C";"";"";"";
